id,description,property_type,bedrooms,bathrooms,commercial,display_address,display_status,latitude,longitude,price,first_visible_date,url,postcode,deliveryPointId,epcGraphs
85259507,4 bedroom detached house for sale,Detached,4,,False,"Ottley Place, Margaretting",Sold STC,51.68995,0.41856,950000,2019-09-30T16:53:53Z,/properties/85259507,CM4 9QE,18740200,https://media.rightmove.co.uk/15k/14258/85259507/14258_OTTLEY_EPC_00_0000.pdf
83347478,5 bedroom detached house for sale,Detached,5,4,False,"Boreham, CM3",Sold STC,51.76254,0.54128,950000,2019-07-18T11:11:23Z,/properties/83347478,CM3 3JF,26779249,
103043534,5 bedroom detached house for sale,Detached,5,3,False,"Lodge Vale, Chelmsford, CM1",Sold STC,51.76318,0.494423,950000,2021-02-18T21:16:13Z,/properties/103043534,CM1 6AX,,
78350718,5 bedroom house for sale,House,5,3,False,"Nancy Edwards Place, Chelmsford",Sold STC,51.73986,0.460908,950000,2021-02-26T14:16:50Z,/properties/78350718,CM1 2WU,,
88613624,Barn conversion for sale,Barn Conversion,0,,False,Stock,Sold STC,51.67236,0.45985,950000,2020-01-21T17:30:04Z,/properties/88613624,CM4 9QX,,
98027549,5 bedroom detached house for sale,Detached,5,4,False,"Robinson Gate, Beaulieu Chase, Chelmsford, CM1",Sold STC,51.762559,0.497104,950000,2020-10-04T02:32:20Z,/properties/98027549,CM1 6AT,,
73140048,4 bedroom detached house for sale,Detached,4,2,False,"Roxwell Road, Chelmsford",Sold STC,51.74051,0.45226,925000,2020-09-09T17:55:10Z,/properties/73140048,CM1 2PP,,
98202755,6 bedroom detached house for sale,Detached,6,1,False,"Baddow Road, Chelmsford, CM2",Sold STC,51.720559,0.493653,925000,2020-10-09T16:28:31Z,/properties/98202755,CM2 9RB,28844398,
74441361,4 bedroom detached house for sale,Detached,4,3,False,"Longstomps Avenue, Chelmsford",Sold STC,51.7165,0.46471,920000,2020-10-20T11:45:03Z,/properties/74441361,CM2 9BZ,,
88843375,6 bedroom detached house for sale,Detached,6,4,False,Chelmsford - Fenn Wright Signature,Sold STC,51.75465,0.51069,915000,2021-02-05T10:27:59Z,/properties/88843375,CM1 6BF,19950637,
78582522,4 bedroom detached house for sale,Detached,4,1,False,"Horse & Groom Lane, Galleywood, Chelmsford",Sold STC,51.701155,0.459636,900000,2021-03-05T16:42:10Z,/properties/78582522,CM2 8PJ,32896528,
103296791,4 bedroom detached house for sale,Detached,4,2,False,"Vicarage Lane, Great Baddow, Chelmsford, Essex, CM2",Sold STC,51.712541,0.501336,900000,2021-02-24T09:26:57Z,/properties/103296791,CM2 8HY,32777905,
101916050,4 bedroom detached house for sale,Detached,4,2,False,"Purcell Cole, Writtle, Chelmsford, Essex, CM1",Sold STC,51.730452,0.420351,900000,2021-01-12T18:53:41Z,/properties/101916050,CM1 3NB,36533974,
101682578,5 bedroom detached house for sale,Detached,5,2,False,"Condor Gate, Chelmsford",Sold STC,51.77005,0.495457,900000,2021-01-05T08:57:29Z,/properties/101682578,CM3 3FU,,
